TF	Gene	Rank
CG6175	CG13360	6907
disco-r	CG9555	6908
E(spl)m3-HLH	cdc2	6909
vfl	CG7745	6910
Hr39	SelD	6911
Met	CG1291	6912
Atf3	CG4294	6913
Dif	CG14298	6914
jing	CG32939	6915
Snoo	Ten-m	6916
Atf3	CG5346	6917
Atf6	Hph	6918
ct	Got2	6919
Hnf4	Pdsw	6920
Dif	CG14275	6921
peb	decay	6922
CG32772	CG3290	6923
drm	CG5194	6924
Lin29	CG7580	6925
bowl	Stat92E	6926
Med	CG31381	6927
CG6175	CG16892	6928
Hnf4	Mrp4	6929
NfI	Vha44	6930
Dif	CG7442	6931
CG9932	Shc	6932
peb	Takl1	6933
Atf3	mei-38	6934
Med	cic	6935
CG13624	pcs	6936
vfl	Hsf	6937
bowl	CG1416	6938
NfI	CG6125	6939
BEAF-32	CG32267	6940
CG13624	CG11825	6941
peb	nub	6942
mid	CG4928	6943
BEAF-32	mRpL33	6944
dsx	cnn	6945
disco-r	Cyp6a21	6946
BEAF-32	CG5021	6947
bun	CycC	6948
Atf6	CG17490	6949
onecut	CG7708	6950
svp	CG8145	6951
Atf6	EDTP	6952
Atf6	CG11155	6953
dsx	Sip1	6954
mamo	CG6094	6955
Med	Top1	6956
Med	crm	6957
vfl	CG7504	6958
CG7987	CG17270	6959
svp	CG30089	6960
ct	CG31087	6961
BEAF-32	BtbVII	6962
ct	CG9272	6963
Rabex-5	tmod	6964
jing	Gl	6965
drm	Tsp2A	6966
vri	gammaTry	6967
Atf3	CG12090	6968
CG9932	Zasp66	6969
rgr	CG3430	6970
mid	Oatp33Eb	6971
drm	CG8317	6972
ct	fkh	6973
ct	Fem-1	6974
drm	CG5009	6975
tj	CG8547	6976
CG6175	Rae1	6977
Atf3	CG18809	6978
bab2	Sry-delta	6979
mid	CG42335	6980
mamo	CG7488	6981
CG7987	Lsm10	6982
jing	disp	6983
ct	Lrrk	6984
BEAF-32	meigo	6985
CG9932	Cyp18a1	6986
drm	CG31274	6987
Lin29	CG17352	6988
Atf6	g	6989
drm	Egfr	6990
CG9932	CG11321	6991
Atf3	Unc-13-4B	6992
drm	Rab30	6993
toy	CG15418	6994
Med	Prp8	6995
CG6175	Zasp52	6996
apt	AMPdeam	6997
BEAF-32	CG7593	6998
toy	CG6966	6999
Atf3	yuri	7000
bab2	Pde9	7001
vfl	Dl	7002
mamo	wol	7003
CG6175	CG10702	7004
Lin29	CG10737	7005
CG13624	qm	7006
CG13624	Mlh1	7007
Med	jing	7008
Med	rictor	7009
Lin29	ATPsyn-Cf6	7010
Dif	qsm	7011
CG4404	CG10345	7012
Atf6	Arpc2	7013
vfl	lic	7014
tj	CG10737	7015
CG6175	x16	7016
BEAF-32	CG1236	7017
CG9932	CG42390	7018
Med	CG10555	7019
CG32772	sub	7020
ct	CG5011	7021
NfI	CG1124	7022
CG4404	Orc5	7023
Atf6	rdgC	7024
ct	CG2681	7025
vri	Spase22-23	7026
Ptx1	Gga	7027
E(spl)m3-HLH	CG11899	7028
bbx	Hydr1	7029
E(spl)mbeta-HLH	CG12975	7030
CG6175	Mal-B2	7031
CG13624	CG1213	7032
CG6175	sesB	7033
crol	Bub3	7034
jing	row	7035
Ets98B	CG6340	7036
Hnf4	Wwox	7037
Atf6	PrBP	7038
CG6175	fax	7039
Lin29	Mhc	7040
jing	RpA-70	7041
Atf6	GPHR	7042
vfl	CG1578	7043
CG32772	CG3021	7044
tsh	Gas41	7045
bun	CG11880	7046
CG9932	CG9416	7047
Atf3	beta-Spec	7048
rgr	CG2162	7049
E(spl)m3-HLH	CG13890	7050
bowl	CG33111	7051
jing	CG42389	7052
BEAF-32	CG5861	7053
pnt	sfl	7054
ct	CG15422	7055
Hnf4	up	7056
CG32772	CG4452	7057
vfl	CG2091	7058
Hr39	Cyt-b5	7059
CG9932	CG5597	7060
Med	mod	7061
drm	yki	7062
Hnf4	CG5214	7063
mamo	AdSS	7064
Thd1	CG3163	7065
vfl	vlc	7066
chn	CG14646	7067
Atf6	Hcf	7068
Atf6	CG6878	7069
dsx	CG15202	7070
Med	Rbm13	7071
CG9932	Cyp6d5	7072
ken	Amph	7073
Hnf4	GEFmeso	7074
mamo	porin	7075
BEAF-32	RpL39	7076
CG10654	CG10654	7077
CG13624	alc	7078
NfI	SP1173	7079
mid	vib	7080
Atf6	dock	7081
CG7987	CG7967	7082
CG6175	CG6439	7083
Lin29	CG4848	7084
apt	Iap2	7085
NfI	CG8230	7086
CHES-1-like	Sfmbt	7087
jing	ocm	7088
Thd1	Sur-8	7089
CG9932	CG7744	7090
BEAF-32	CG12384	7091
CG9932	Ppt2	7092
onecut	CG30172	7093
Thd1	CG31729	7094
Lin29	levy	7095
mamo	Ucp4A	7096
E(spl)m3-HLH	CG32441	7097
Dif	CG13631	7098
E(spl)m3-HLH	CG7713	7099
ct	CG14969	7100
CG13624	CG4462	7101
Hnf4	P58IPK	7102
bowl	CG14903	7103
Atf3	Letm1	7104
BEAF-32	CG11444	7105
mamo	CG3793	7106
Dif	CG5555	7107
E(spl)mbeta-HLH	CG7009	7108
cyc	CG3198	7109
Ets98B	Galphai	7110
Lin29	CG11835	7111
disco-r	RN-tre	7112
pnt	CG1143	7113
bowl	nudE	7114
tj	l(2)efl	7115
dsx	gfzf	7116
Snoo	lawc	7117
mid	CG13323	7118
Atf6	Rac1	7119
Lin29	SP2637	7120
Thd1	galectin	7121
svp	flr	7122
CG34376	Sec31	7123
crol	Ip259	7124
vfl	RpL14	7125
NfI	Ggamma1	7126
Med	Bap170	7127
drm	CG5707	7128
CG9932	CG13920	7129
CG7987	Pdfr	7130
cbt	Oatp58Dc	7131
dsx	Mal-B2	7132
Med	Nnp-1	7133
Thd1	Krn	7134
crol	CG1896	7135
mid	CG31343	7136
klu	CG17108	7137
CG4404	Hip14	7138
bun	Mtap	7139
crol	eIF2B-delta	7140
Hr39	CG6023	7141
ct	CG5805	7142
CG9932	Smc5	7143
Med	DLP	7144
CG9932	CG5621	7145
Atf6	Grip75	7146
chn	RagC-D	7147
ush	lilli	7148
jing	Taf1	7149
NfI	metro	7150
sug	CG3699	7151
dsx	Baldspot	7152
pnt	Meltrin	7153
Hr39	ApepP	7154
Mitf	CG43921	7155
CG9932	CG9837	7156
Hnf4	CG9947	7157
BEAF-32	CG9669	7158
NfI	Act5C	7159
CG6175	CG14798	7160
cyc	ball	7161
mid	Mur18B	7162
Thd1	RpL28	7163
Med	CG1582	7164
ush	CG32368	7165
shn	Cad87A	7166
Atf6	Inr-a	7167
Hr39	hk	7168
drm	Bace	7169
disco-r	CG11577	7170
so	CG13565	7171
CG32264	CG31678	7172
CG6175	Bzd	7173
klu	CG17562	7174
Mitf	cnn	7175
Camta	Moca-cyp	7176
vfl	Mcm2	7177
E(spl)m3-HLH	wit	7178
mamo	TfIIB	7179
bun	l(2)k14710	7180
NfI	CG11835	7181
vfl	CG6843	7182
tsh	Itgbetanu	7183
ct	CG7970	7184
E(spl)mbeta-HLH	TfIIFbeta	7185
NfI	CG44085	7186
tsh	Spn55B	7187
CG9932	CG10639	7188
disco-r	alpha-Est10	7189
E(spl)m3-HLH	CG9391	7190
disco-r	CG12375	7191
bun	Vps24	7192
Dif	CG13604	7193
ct	CG5162	7194
klu	CG4666	7195
CG13624	Sgf29	7196
CG3726	PIG-C	7197
Ptx1	CG8134	7198
Snoo	Atg101	7199
dsx	Clic	7200
CG9932	Lapsyn	7201
CG32772	Ube3a	7202
CG9932	CG3077	7203
Atf3	bc10	7204
Lin29	CG4692	7205
CG9932	me31B	7206
bab2	CG8745	7207
tj	CG44085	7208
ct	Men	7209
CG5953	14-3-3zeta	7210
Lin29	CG33230	7211
mamo	CG4447	7212
Med	Nop60B	7213
svp	Rbp9	7214
Med	CG3071	7215
CG7987	Cpn	7216
shn	cnn	7217
tsh	PGRP-SC2	7218
BEAF-32	TFAM	7219
vfl	olf186-F	7220
Ptx1	Fibp	7221
CG34376	CG7655	7222
vfl	RhoGAP54D	7223
Thd1	CG2034	7224
drm	CG15695	7225
CG6175	CG42700	7226
bowl	Shroom	7227
CG6175	CG31517	7228
Dif	Pka-R1	7229
Atf3	HLH106	7230
cyc	DIP1	7231
cyc	MEP-1	7232
cbt	CG6733	7233
bun	dsd	7234
drm	CG5888	7235
BEAF-32	Prosalpha5	7236
CG6175	CG8301	7237
pnt	CG4390	7238
Snoo	frj	7239
ct	CG4408	7240
NfI	CG31999	7241
CG7987	CG5174	7242
vfl	chn	7243
Dsp1	crp	7244
Dsp1	CG12054	7245
ct	CG7381	7246
bun	KLHL18	7247
l(3)neo38	nkd	7248
bun	CG6364	7249
CG4404	CG10326	7250
dsx	Tsp42Ej	7251
Thd1	CG2316	7252
CG13624	CG5808	7253
bowl	CG3921	7254
CG6175	CG3402	7255
CG6175	Syb	7256
mid	mex1	7257
CG10654	CG8326	7258
tsh	stas	7259
ct	Psa	7260
Ptx1	Sec23	7261
Med	CG5728	7262
CG6175	imd	7263
CG7987	Nsf2	7264
dsx	fat-spondin	7265
CG9932	CG1636	7266
mamo	Marf	7267
mid	CG5550	7268
CG9932	gbb	7269
vri	Patr-1	7270
cbt	Mob2	7271
l(3)neo38	fax	7272
CG6175	l(2)37Cd	7273
mid	CG43427	7274
ct	Drp1	7275
NfI	CG1486	7276
bun	qm	7277
bun	CG15317	7278
Dif	Dic1	7279
Atf3	kst	7280
vri	Dnz1	7281
Rabex-5	Roc1a	7282
CG6175	Pi3K21B	7283
CG6175	f-cup	7284
CG9932	CG30152	7285
NfI	CG42235	7286
peb	CG2789	7287
ush	Lpt	7288
Med	HP5	7289
Snoo	Tina-1	7290
BEAF-32	Prosbeta4	7291
pnt	CG9376	7292
Dif	ACC	7293
drm	Atg17	7294
Camta	CG6191	7295
cyc	RpA-70	7296
peb	CG8051	7297
Hnf4	SdhA	7298
BEAF-32	mRpL14	7299
ct	Sep4	7300
svp	CG12071	7301
crol	UbcD10	7302
dsx	jbug	7303
Atf3	CG10417	7304
Ets98B	CG15514	7305
bowl	CG31908	7306
Snoo	CG12728	7307
Hr78	Nab2	7308
CG7987	Cdc37	7309
dsx	Drak	7310
drm	CG5080	7311
bowl	CG15362	7312
bun	CG5290	7313
E(spl)m3-HLH	CG9319	7314
CG6175	nahoda	7315
Mitf	pst	7316
vfl	CG4730	7317
tj	DNApol-alpha60	7318
Hnf4	CG4769	7319
CG6175	Det	7320
Atf3	CG11788	7321
Atf6	CG11807	7322
crol	Ubc12	7323
vri	IP3K1	7324
Mitf	CG14353	7325
BEAF-32	CG14438	7326
Atf3	stc	7327
ct	CG13102	7328
jim	l(2)gd1	7329
onecut	comt	7330
Rabex-5	Psa	7331
vfl	dalao	7332
E(spl)m3-HLH	HP4	7333
Atf3	Vinc	7334
CG4404	CG15387	7335
E(spl)m3-HLH	disco	7336
Med	clu	7337
vri	CG5150	7338
shn	CG6565	7339
drm	CG18748	7340
svp	Hip1	7341
disco-r	Trpml	7342
bun	CG4210	7343
Ptx1	CG8952	7344
dsx	CG3505	7345
CG6175	CG15014	7346
Thd1	sl	7347
Atf3	CG42268	7348
ct	bowl	7349
CG6175	pdgy	7350
ct	l(2)35Bd	7351
ush	Nbr	7352
mid	swi2	7353
Snoo	CG14966	7354
tsh	mthl15	7355
ct	CG10425	7356
tsh	CG13102	7357
mamo	Trip1	7358
CG3726	Lin29	7359
ct	fax	7360
CG10654	Hsc70-5	7361
Med	sdk	7362
dsx	Galt	7363
l(3)neo38	fz2	7364
Thd1	RpL19	7365
Camta	CG14650	7366
mamo	CG1105	7367
svp	rdgC	7368
bowl	snRNP-U1-70K	7369
CG6175	CG18259	7370
dsx	tacc	7371
Dif	CG4452	7372
BEAF-32	Spt6	7373
CG13624	Jabba	7374
Ets98B	CG31075	7375
svp	PGAP5	7376
Med	CG7728	7377
bun	CG11825	7378
Dif	comm3	7379
drm	CG32368	7380
Atf3	gig	7381
bab2	Pect	7382
bab2	Spn27A	7383
bab2	CG11236	7384
CG9932	CG13315	7385
Atf6	Pde9	7386
onecut	Nplp1	7387
mamo	CG15443	7388
bowl	drpr	7389
svp	CG3921	7390
ush	CG2685	7391
Mitf	CG3812	7392
CG6175	CG31278	7393
CG4404	CG7084	7394
CG13624	Fdh	7395
vri	CG34112	7396
jing	LRP1	7397
bowl	PrBP	7398
vri	wash	7399
CG13624	CG30020	7400
svp	CG7841	7401
CG6175	Mct1	7402
CG6175	betaCOP	7403
CG13624	CG17777	7404
drm	CG18745	7405
peb	CG12974	7406
CG6175	CG11158	7407
vri	CG9664	7408
bowl	CG34125	7409
ush	PAN2	7410
onecut	Unc-76	7411
toy	Mal-A5	7412
CG6175	Aats-trp	7413
Thd1	fwe	7414
onecut	CG5758	7415
CG6175	CG5214	7416
Hnf4	TpnC4	7417
dsx	CG7172	7418
CG13624	TfIIB	7419
NfI	Gtp-bp	7420
NfI	CG3907	7421
CG8301	mRpS6	7422
Atf3	ball	7423
Atf3	ald	7424
tsh	CG8353	7425
Lin29	CG13044	7426
E(spl)m3-HLH	CG8628	7427
Ets98B	CG14275	7428
CG6175	CG6231	7429
Camta	CG42258	7430
mid	Cyp4e2	7431
mamo	CG7857	7432
Hr39	fry	7433
mamo	His4r	7434
NfI	Gfat2	7435
NfI	tutl	7436
CG10654	CG5174	7437
Med	nclb	7438
shn	PhKgamma	7439
svp	Cdk8	7440
Hnf4	CG5261	7441
NfI	Scgdelta	7442
svp	CG34371	7443
vri	CG6084	7444
ken	CG5608	7445
peb	CG14820	7446
CG6175	CG15436	7447
bun	CG18178	7448
bab2	p38b	7449
bun	CG2540	7450
NfI	CG43921	7451
CG6175	CG33493	7452
Ptx1	PH4alphaEFB	7453
vfl	CG10688	7454
Med	CG1677	7455
Hnf4	CG5028	7456
klu	CG3632	7457
Thd1	Tollo	7458
Snoo	Pex11	7459
Atf3	Dhit	7460
disco-r	Gtp-bp	7461
tj	CG14964	7462
bun	Khc	7463
Thd1	CG15717	7464
Med	mahj	7465
drm	glob1	7466
tsh	CG5804	7467
dsx	CG16926	7468
drm	srp	7469
bowl	Ugt58Fa	7470
svp	msta	7471
Med	l(2)k09022	7472
drm	CG5065	7473
NfI	CG3397	7474
Hnf4	Der-2	7475
Thd1	nonA	7476
bab2	CG1311	7477
CG7987	CG14545	7478
bbx	adp	7479
disco-r	CG42239	7480
disco-r	Vha100-5	7481
CG9932	qtc	7482
bun	Paip2	7483
CG4404	CG7889	7484
apt	CG33169	7485
tna	zfh1	7486
Rabex-5	Prosalpha6	7487
klu	CG5118	7488
Hr39	Mal-A2	7489
CG8301	CG12107	7490
drm	CG11388	7491
bbx	CG13091	7492
Ptx1	Sep1	7493
peb	etaTry	7494
NfI	Ca-P60A	7495
Lin29	kay	7496
CG9932	phl	7497
apt	px	7498
svp	ltd	7499
mid	CG15255	7500
mamo	CG15877	7501
Atf6	CG12213	7502
CG9932	CG7378	7503
CG9932	Ucp4A	7504
Dif	Cpr72Ec	7505
ct	AGO2	7506
CG5953	ZnT41F	7507
Atf6	CG17508	7508
Hr78	CG9919	7509
bun	CG3770	7510
jim	MED15	7511
ct	CG15561	7512
vri	mnb	7513
Ets98B	CG11658	7514
Thd1	CG31998	7515
Snoo	MED23	7516
vfl	CG31126	7517
Lin29	CG1674	7518
NfI	CG12071	7519
vri	Hsc70Cb	7520
dsx	CG6707	7521
Myb	ND42	7522
crol	hoe1	7523
CG6175	olf186-M	7524
CG13624	CG7601	7525
mid	NAAT1	7526
peb	MBD-like	7527
Hnf4	Mhc	7528
Med	CG1785	7529
ush	rau	7530
CG5953	CG14971	7531
ct	Idgf2	7532
dsx	Mp	7533
Hnf4	Syx7	7534
BEAF-32	CG3663	7535
Atf6	CG10590	7536
disco-r	Sep5	7537
dsx	melt	7538
Atf3	rush	7539
CG13624	Fit2	7540
tj	Tsp42Eg	7541
CG8301	CSN6	7542
CG9932	CG3295	7543
disco-r	Gdi	7544
dsx	CG5849	7545
Lin29	CG30415	7546
tsh	key	7547
Atf3	Khc-73	7548
CG9932	Act88F	7549
cbt	sws	7550
bun	Sec71	7551
Atf6	yki	7552
Med	mask	7553
vfl	Klp61F	7554
mamo	CG5886	7555
tsh	CG34176	7556
CG6175	CG15312	7557
CG4404	CG1129	7558
Hnf4	Eno	7559
Ets98B	Vps29	7560
Thd1	Pak3	7561
peb	CG15255	7562
CG5953	CG1315	7563
CG6175	aralar1	7564
Atf6	Fadd	7565
dsx	SNF4Agamma	7566
dsx	CG1516	7567
vfl	GNBP1	7568
jim	l(2)k10201	7569
drm	CG4829	7570
bab2	Oatp74D	7571
klu	CG10513	7572
Med	U3-55K	7573
bowl	dah	7574
NfI	Atg17	7575
Hnf4	CG10916	7576
CG10654	fray	7577
Dsp1	CG6175	7578
rgr	Pabp2	7579
Dif	Blimp-1	7580
tna	CG2225	7581
onecut	VhaM9.7-a	7582
E(spl)m3-HLH	mRpS28	7583
pnt	Itp-r83A	7584
CG9932	CG6463	7585
cbt	CG32195	7586
CG10654	Srp68	7587
svp	CG2121	7588
Thd1	Cul2	7589
BEAF-32	RpL27	7590
pnt	Tctp	7591
cyc	egr	7592
bun	cact	7593
CG6175	CG31778	7594
Med	lost	7595
Snoo	CG17270	7596
dsx	v	7597
E(spl)m3-HLH	Aprt	7598
vri	CG30392	7599
Lin29	CG9306	7600
Atf6	CG32473	7601
Hr39	Cals	7602
ct	CG6565	7603
Atf6	CG4733	7604
ct	CG17549	7605
peb	Mur29B	7606
tna	rg	7607
CG6175	NijA	7608
crol	CG7192	7609
disco-r	Vml	7610
klu	pinta	7611
chn	CG10062	7612
NfI	Act79B	7613
NfI	Pmm45A	7614
bab2	Galphaq	7615
sug	CG7322	7616
drm	CG6484	7617
klu	Unc-115b	7618
Hnf4	cdi	7619
ush	Ack-like	7620
jing	Rev1	7621
Rabex-5	MESR6	7622
Atf3	thoc5	7623
vfl	mRpS24	7624
bab2	CG34166	7625
ct	CG9945	7626
tj	lic	7627
svp	mesh	7628
CG9932	CG31145	7629
Atf6	CG14883	7630
Hnf4	CG6455	7631
bun	CG45050	7632
mid	CG7322	7633
NfI	Atg18a	7634
NfI	wgn	7635
tsh	scf	7636
E(spl)m3-HLH	CG14476	7637
mamo	Tango14	7638
mid	CG1902	7639
BEAF-32	RpL12	7640
vri	SP2637	7641
vfl	CG4476	7642
CG13624	CG2685	7643
Snoo	CG15861	7644
vri	ari-1	7645
Snoo	CG7705	7646
Hr39	CG42748	7647
mid	CG10513	7648
bab2	Fuca	7649
disco-r	dec-1	7650
E(spl)m3-HLH	eIF2B-beta	7651
bowl	CG13604	7652
bun	CG17328	7653
CG7987	CG3529	7654
Atf6	CG10880	7655
Atf6	CG5188	7656
Hnf4	wun	7657
ct	CG32091	7658
CG10654	NHP2	7659
bbx	daw	7660
ct	CG12825	7661
bun	CG12896	7662
ush	snRNP-U1-C	7663
tna	Orc2	7664
CG6175	mtDNA-helicase	7665
Atf6	CG9171	7666
mid	CG9568	7667
Atf6	tan	7668
E(spl)m3-HLH	CG15771	7669
disco-r	Art8	7670
Atf6	tsr	7671
mamo	p115	7672
CG9932	Gdh	7673
Med	bin3	7674
vfl	CG32369	7675
vri	agt	7676
Ets98B	Atet	7677
dsx	Spn77Ba	7678
vfl	RpL35	7679
vfl	RpL19	7680
mid	CG7194	7681
Lin29	CG7630	7682
pnt	CG9603	7683
disco-r	CG2107	7684
onecut	CG17816	7685
bowl	eya	7686
CG9932	CG8475	7687
tna	Syp	7688
bowl	Adf1	7689
E(spl)mbeta-HLH	Ada1-1	7690
NfI	Zip99C	7691
vri	CG3841	7692
CG9932	CG9752	7693
shn	CG4848	7694
drm	CG13887	7695
Ets98B	CG30002	7696
tj	l(1)G0320	7697
Thd1	Map205	7698
tsh	ImpL2	7699
Ptx1	Peb	7700
ct	CG18748	7701
Thd1	nrm	7702
Hnf4	Hsc70-1	7703
dsx	CG8389	7704
NfI	GlcAT-S	7705
Thd1	RpL24-like	7706
ct	mtm	7707
Med	ttm50	7708
CG13624	CG14414	7709
crol	Gen	7710
svp	CG8051	7711
svp	Myo31DF	7712
CG7987	Hmgs	7713
CG13624	SNF4Agamma	7714
ct	CG12262	7715
mamo	CG12822	7716
dsx	Odc1	7717
svp	CG13339	7718
disco-r	CG30160	7719
svp	CG11388	7720
mamo	CG8089	7721
Atf3	jar	7722
Thd1	CG17486	7723
BEAF-32	RpS15Aa	7724
Med	CG2926	7725
Hnf4	CG8334	7726
CG10654	CG32939	7727
CG9932	CG14253	7728
Lin29	CG8735	7729
mamo	CG5527	7730
Camta	CG7971	7731
pnt	jar	7732
cbt	NaPi-T	7733
Atf6	CG11377	7734
ct	HPS1	7735
rgr	Prp3	7736
CG9932	CG33521	7737
cyc	p24-1	7738
sug	CG9119	7739
Med	G9a	7740
CG7987	CG9996	7741
Ptx1	AP-2sigma	7742
CG7987	CG5147	7743
Mitf	CG3036	7744
NfI	CG16904	7745
Ets98B	CG6959	7746
svp	CG4660	7747
Med	CG11873	7748
vfl	CG16817	7749
Med	fs(1)K10	7750
CG7987	CG6983	7751
Lin29	CG42249	7752
CG9932	CG5162	7753
onecut	CG8245	7754
Ets98B	CG10345	7755
ct	CG1792	7756
Rabex-5	CG14894	7757
CG6175	ana2	7758
CHES-1-like	CG8602	7759
ct	CG11149	7760
Rabex-5	CG12163	7761
disco-r	CG30291	7762
mamo	CG10055	7763
Atf6	CG8230	7764
ct	CG14968	7765
dsx	aralar1	7766
NfI	Fas2	7767
CG5953	l(1)10Bb	7768
bowl	CG14286	7769
mamo	mRpL45	7770
Med	eIF3-S10	7771
drm	skap	7772
disco-r	Hrd3	7773
NfI	Prat2	7774
Atf6	Gmap	7775
CG13624	pnt	7776
CG9932	Cp18	7777
NfI	sick	7778
svp	Eaat2	7779
Hnf4	Pkn	7780
bowl	tobi	7781
vri	CG1971	7782
NfI	Bx42	7783
CG32772	sty	7784
bab2	homer	7785
NfI	CG31360	7786
E(spl)m3-HLH	Rab21	7787
bowl	CG6191	7788
dsx	Mipp2	7789
CG8301	Dpck	7790
mirr	Rtf1	7791
Lin29	CG10132	7792
crol	CG8312	7793
Hr39	Lrch	7794
svp	CG5447	7795
Atf6	SdhA	7796
Med	CG11123	7797
Atf6	CG17219	7798
Ets98B	lark	7799
bun	Not11	7800
E(spl)m3-HLH	CG14401	7801
Thd1	CG10413	7802
CG32772	mTTF	7803
drm	CG11671	7804
NfI	CG3308	7805
BEAF-32	PCID2	7806
E(spl)mbeta-HLH	Arc42	7807
Dif	hpo	7808
vri	CG4783	7809
Med	CG32676	7810
Hnf4	TotA	7811
sug	CG2680	7812
Atf6	PlexB	7813
vfl	jnj	7814
bab2	Atg101	7815
CG6175	CG34149	7816
Snoo	Krn	7817
E(spl)m3-HLH	Capa	7818
Ptx1	disco-r	7819
Hr78	Prp38	7820
ct	Cyp6a22	7821
vfl	eIF2B-gamma	7822
cbt	vri	7823
cyc	CG3812	7824
BEAF-32	l(2)06225	7825
emc	l(3)neo38	7826
ush	CG13313	7827
disco-r	CG33514	7828
vri	CG1315	7829
CG5953	skpA	7830
bun	CtBP	7831
Atf6	CG17912	7832
apt	Cirl	7833
CG4404	Abp1	7834
E(spl)mbeta-HLH	MED15	7835
BEAF-32	H	7836
vri	CG12171	7837
E(spl)mbeta-HLH	CG33230	7838
E(spl)m3-HLH	CG13822	7839
ct	CG10827	7840
ush	CG12096	7841
CG5953	CG12091	7842
Atf3	GlyS	7843
CG4404	Jon99Ciii	7844
sug	Tango2	7845
NfI	Unc-89	7846
Mitf	CG7239	7847
CG13624	CG5902	7848
CG9932	l(2)k09913	7849
CG6175	Spn47C	7850
ush	CG10795	7851
peb	CG5096	7852
ct	tn	7853
Hnf4	CG4882	7854
cyc	Ubpy	7855
ct	CG4302	7856
tna	unc-13	7857
mid	CG30438	7858
vri	Cct1	7859
BEAF-32	Aos1	7860
Rabex-5	CG12643	7861
CG9932	CG7611	7862
bbx	CG4658	7863
Hnf4	Tpi	7864
shn	CG8728	7865
klu	CG31549	7866
Atf6	Dmtn	7867
bab2	CG1523	7868
ush	pirk	7869
BEAF-32	CG16940	7870
mamo	CG10731	7871
vri	Gcn2	7872
disco-r	CG4781	7873
vri	CS-2	7874
jim	CG3267	7875
jing	CG5316	7876
CG32772	CG1104	7877
Thd1	stmA	7878
pnt	Exn	7879
Med	CG3808	7880
cbt	Oatp58Db	7881
Med	Ssrp	7882
Hnf4	CG14757	7883
Hr39	grk	7884
bowl	Akt1	7885
rgr	CG5854	7886
ct	NnaD	7887
NfI	CG6465	7888
ush	Jon25Biii	7889
crol	qkr58E-3	7890
Atf3	Tim8	7891
vfl	CG30020	7892
vri	CG4098	7893
ct	CG3662	7894
Rabex-5	CG17754	7895
CG13624	Gal	7896
Atf3	RpL22	7897
mid	CG15406	7898
emc	ogre	7899
Atf6	CG10688	7900
CG34376	betaTub60D	7901
Mitf	fzy	7902
drm	CG10157	7903
cyc	26-29-p	7904
Dsp1	Edc3	7905
rgr	Sdic2	7906
dsx	CG12155	7907
Atf6	CG10469	7908
Rabex-5	CG3356	7909
vfl	CG7275	7910
bun	CkIalpha	7911
klu	Rrp46	7912
onecut	CG13248	7913
Lin29	Kaz-m1	7914
CG34376	Fer2LCH	7915
Thd1	Crk	7916
CG7987	nudC	7917
tj	CG1840	7918
mid	CG34232	7919
CG6175	FKBP59	7920
dsx	chp	7921
Thd1	heix	7922
Atf6	CG4091	7923
crol	Spx	7924
so	CG30051	7925
Dif	Rpn7	7926
bowl	obst-B	7927
CG6175	TfIIS	7928
mid	CG9119	7929
CG6175	cyp33	7930
CG7987	CG32066	7931
drm	CG6959	7932
Myb	CG11752	7933
disco-r	ergic53	7934
dsx	dream	7935
Med	l(1)G0004	7936
dsx	GNBP2	7937
vri	Git	7938
drm	sip3	7939
ct	CG16935	7940
apt	CG15098	7941
dsx	nonA-l	7942
CG7987	CG13375	7943
Atf3	mr	7944
ush	Jon65Ai	7945
tj	CG6006	7946
mid	CG4949	7947
dsx	Ho	7948
Atf6	CG1407	7949
dsx	CG15312	7950
vfl	CG1109	7951
klu	st	7952
onecut	CG31030	7953
CG6175	Lsm10	7954
Ptx1	capu	7955
CG7987	AMPdeam	7956
cbt	pkaap	7957
bab2	CG13607	7958
CG7987	CG9664	7959
jing	fwe	7960
tj	Orct2	7961
svp	Act5C	7962
CG8301	CG12883	7963
tsh	CG18747	7964
bab2	PKD	7965
Hr39	CG5126	7966
E(spl)m3-HLH	mRpL21	7967
ush	Ntmt	7968
mamo	LSm7	7969
drm	UGP	7970
CG6175	CG11788	7971
tj	CG9413	7972
Dif	CG31157	7973
Lin29	CG5027	7974
bab2	moody	7975
Med	Hsc70-4	7976
Atf6	CG11418	7977
dsx	CG4629	7978
bun	RpL23	7979
cyc	Cap-D2	7980
crol	CG10306	7981
BEAF-32	Ostgamma	7982
ct	Snap29	7983
tna	Pkc98E	7984
Hr39	CG33774	7985
disco-r	CG1315	7986
CG4404	TER94	7987
NfI	CG6660	7988
CG9932	Scsalpha	7989
mid	CG10226	7990
BEAF-32	pum	7991
disco-r	CG42249	7992
Ets98B	CG1673	7993
disco-r	Fbxl4	7994
drm	Vha55	7995
Ets98B	CG15067	7996
pnt	CG31523	7997
peb	CG33145	7998
BEAF-32	Hel25E	7999
CG6175	CG10495	8000
sd	CG18180	8001
tna	CG8726	8002
Mitf	CG6984	8003
svp	CG1561	8004
Lin29	CG9172	8005
crol	CG13921	8006
BEAF-32	CG17333	8007
E(spl)m3-HLH	spin	8008
rgr	CG12082	8009
BEAF-32	epsilonCOP	8010
shn	Sec61beta	8011
Hnf4	SdhB	8012
Ptx1	Hexo2	8013
Hnf4	CG3499	8014
bowl	CG31549	8015
Dif	CG30463	8016
ct	CG15739	8017
mid	p38c	8018
CG13624	CG7943	8019
