Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
Ge-1	FBgn0283682
mspo	FBgn0020269
Tsp42Ea	FBgn0029508
Rab8	FBgn0262518
CycD	FBgn0010315
CG10635	FBgn0035603
CG10462	FBgn0032815
CG4406	
CG5938	FBgn0046247
bbx	FBgn0024251
CG9773	FBgn0037609
CG9836	
mamo	FBgn0267033
CG7466	FBgn0031981
CG9686	FBgn0030158
nxf2	FBgn0036640
CG34208	FBgn0085237
CG15531	FBgn0039755
Mnn1	FBgn0031885
Vamp7	FBgn0266186
Best1	FBgn0040238
Swim	FBgn0034709
CG5853	FBgn0032167
CG8534	FBgn0037761
Tob	FBgn0028397
csw	FBgn0000382
iPLA2-VIA	FBgn0036053
rtet	FBgn0028468
CG5506	FBgn0036766
CG32350	FBgn0052350
CG12659	FBgn0040929
betaggt-I	FBgn0015000
Rh50	FBgn0028699
miple	
CG8736	FBgn0033308
slgA	FBgn0003423
CG5181	FBgn0031909
CG17544	FBgn0032775
l(1)G0020	FBgn0027330
Tak1	FBgn0026323
hppy	FBgn0263395
Roe1	FBgn0014877
CG11984	
ACC	FBgn0033246
Piezo	FBgn0264953
CG9992	FBgn0030744
CG8360	FBgn0032001
Sld5	FBgn0039403
CG5377	FBgn0038974
CG32576	FBgn0052576
PsGEF	FBgn0264598
Sras	FBgn0029121
Cbs	FBgn0031148
Hph	FBgn0264785
Hsc20	FBgn0263606
eco	FBgn0035766
glo	FBgn0259139
scramb1	FBgn0052056
CG17108	FBgn0032285
Rab6	FBgn0015797
Fer2LCH	FBgn0015221
net	FBgn0002931
CG8187	FBgn0034027
RhoGAP16F	FBgn0030893
CG13197	FBgn0062449
CG4049	FBgn0034976
CG8728	FBgn0033235
ctp	FBgn0011760
CG8329	FBgn0036022
Hex-C	FBgn0001187
CG31663	FBgn0051663
tub	FBgn0003882
eEF1delta	FBgn0032198
mura	FBgn0037705
CG4203	
CG43066	FBgn0262476
AnxB11	FBgn0030749
CG13422	
TfIIA-S	FBgn0013347
CG42542	FBgn0260659
CG32641	FBgn0052641
MEP-1	FBgn0035357
CG3625	FBgn0031245
CG7133	FBgn0037150
glu	FBgn0015391
Rcd2	FBgn0037012
Gs1l	FBgn0019982
Rab10	FBgn0015789
Crk	FBgn0024811
CG16985	FBgn0035355
CG10444	FBgn0034494
cv-d	FBgn0265048
LBR	FBgn0034657
Fip1	FBgn0037255
Pdh	FBgn0011693
GlyP	FBgn0004507
Vha36-3	FBgn0040377
crm	FBgn0000376
CG7713	
CG8010	FBgn0031008
HSPC300	FBgn0061198
Fs(2)Ket	FBgn0262743
robl	FBgn0024196
CG1887	
Vav	FBgn0040068
CG7379	FBgn0038546
mld	FBgn0263490
Sulf1	FBgn0040271
pen	
CG3638	FBgn0261444
mRpS31	FBgn0036557
CG10680	FBgn0032836
NC2alpha	FBgn0034650
CG10904	FBgn0034945
CG31739	FBgn0051739
CG7747	FBgn0034109
CSN3	FBgn0027055
CG1213	FBgn0037387
CG9104	
Hr96	FBgn0015240
AstA	FBgn0015591
Ntmt	FBgn0033457
CG15715	FBgn0036538
Su(var)3-3	FBgn0260397
CG6769	FBgn0030878
c(2)M	FBgn0028525
CG9555	FBgn0032085
CG2974	FBgn0030178
CG2556	FBgn0030396
pzg	FBgn0259785
Gale	FBgn0035147
Eaf6	FBgn0035624
mthl10	FBgn0035132
Obp56g	FBgn0034474
CG5934	FBgn0039505
CG11560	FBgn0036249
APP-BP1	FBgn0261112
CG4061	
srl	FBgn0037248
CG8004	FBgn0036920
CG5096	FBgn0032235
CG9267	FBgn0032524
SP2637	FBgn0034371
CG9987	
CG32640	FBgn0052640
CG10472	FBgn0035670
CG14820	FBgn0035718
ssh	FBgn0029157
CG5707	FBgn0026593
pfk	
CG7009	FBgn0038861
Sc2	FBgn0035471
CG6145	FBgn0033853
Cbp20	FBgn0022943
CG8675	FBgn0030834
Inx3	FBgn0265274
CG10359	FBgn0035452
Dbp45A	FBgn0010220
ear	FBgn0026441
Tango5	FBgn0052675
CG8191	FBgn0030675
pirk	FBgn0034647
CG10824	FBgn0191486
CG17919	FBgn0037433
CG6495	FBgn0027550
CG7275	FBgn0036500
Cyp4g1	FBgn0010019
Oseg1	FBgn0265102
fu2	FBgn0029173
CG4447	
CG31431	FBgn0051431
Oscillin	FBgn0031717
CG2641	FBgn0037518
CG15881	FBgn0036909
wus	FBgn0030805
Sox102F	FBgn0039938
CG3527	FBgn0029714
CG18259	FBgn0030956
CG14898	FBgn0038437
CG16743	FBgn0032322
CG14353	FBgn0036771
Sod	FBgn0016313
Bruce	FBgn0266717
CG14103	FBgn0083952
CG3337	FBgn0038871
CG6005	FBgn0038672
CG32344	FBgn0052344
CG1673	FBgn0030482
CG4278	FBgn0014092
su(Hw)	FBgn0003567
RpS21	FBgn0015521
CG32276	FBgn0047135
CycG	FBgn0039858
CG32452	FBgn0052452
AP-2mu	FBgn0263351
Nlp	FBgn0016685
nec	FBgn0002930
Mdr50	FBgn0010241
Rpt6	FBgn0020369
CG10343	FBgn0032703
CG12119	
CG9769	
CG5823	FBgn0038515
CG9380	FBgn0035094
Su(dx)	FBgn0003557
Trs20	FBgn0266724
CG34261	FBgn0085290
Tom7	FBgn0033357
CG10672	FBgn0035588
Sem1	FBgn0266666
Taf13	FBgn0032847
CG3663	FBgn0035044
CG6602	FBgn0035673
Aats-tyr-m	
CG42369	FBgn0259715
CG16892	FBgn0030122
CG8147	FBgn0043791
CG3632	FBgn0030735
Tgt	FBgn0031321
CG32032	FBgn0043806
CG3534	FBgn0038463
CG31937	FBgn0031360
vas	FBgn0283442
CG42663	FBgn0261545
CG6488	FBgn0032361
CG17259	
CG30010	FBgn0050010
CG14883	FBgn0038432
CG5674	FBgn0032656
TM4SF	FBgn0020372
mRpL34	FBgn0083983
CG7881	FBgn0033048
Jon65Aii	FBgn0035666
mib2	FBgn0086442
mRpS18A	FBgn0051450
CG7705	FBgn0038639
CG5945	FBgn0032494
lolal	FBgn0022238
Rbf	FBgn0015799
gatA	
CG5033	FBgn0028744
Pitslre	FBgn0016696
Cypl	FBgn0035141
tok	FBgn0004885
CG10803	FBgn0029666
CG4730	FBgn0039355
Phae1	FBgn0263234
CG9743	FBgn0039756
hebe	FBgn0033448
CG8552	FBgn0031990
lt	FBgn0002566
eIF-3p40	
CG5745	FBgn0038855
Tsp42El	FBgn0033134
CG12194	FBgn0031636
U4-U6-60K	FBgn0036733
CG9090	FBgn0034497
CG10376	FBgn0032702
Spc25	FBgn0087021
CG10623	FBgn0032727
CG18853	FBgn0042173
onecut	FBgn0028996
mthl8	FBgn0052475
shu	FBgn0003401
cv-2	FBgn0000395
CG32195	FBgn0052195
Jon25Biii	FBgn0031653
CG8270	FBgn0035703
kar	FBgn0001296
rau	FBgn0031745
SelR	FBgn0267376
CG6295	FBgn0039471
Nup153	FBgn0061200
CG1105	FBgn0037465
CG1275	FBgn0035321
CG7818	
Aats-his	
5PtaseI	FBgn0259178
Cdc23	FBgn0032863
CG7182	FBgn0035878
Pak	FBgn0267698
CG31777	FBgn0051777
NaPi-T	FBgn0016684
CG11149	FBgn0031732
alpha-Est10	FBgn0015569
CG13603	FBgn0039135
CG10979	FBgn0037379
CG17059	FBgn0040754
Tsp96F	FBgn0027865
CG33298	FBgn0032120
CG31705	FBgn0028490
CG15735	FBgn0030364
CG1607	FBgn0039844
JHDM2	FBgn0037703
Hk	FBgn0263220
Lrr47	FBgn0010398
Rpn5	FBgn0028690
Ku80	FBgn0041627
CG12155	FBgn0029957
CG17361	FBgn0036395
ClC-a	FBgn0051116
U2af38	FBgn0017457
CG14223	FBgn0031053
Bin1	FBgn0024491
CG3876	
CG10600	FBgn0032717
CG17612	FBgn0031597
CG10383	FBgn0032699
U2A	FBgn0033210
CG15087	
CG15014	FBgn0035532
Dlc90F	FBgn0024432
sick	FBgn0263873
Hakai	FBgn0032812
CG14408	FBgn0030581
psq	FBgn0263102
CG32066	FBgn0052066
Alr	FBgn0031068
CG17931	FBgn0038421
CG13428	FBgn0034515
Rbbp5	FBgn0036973
PP2A-B'	FBgn0042693
CG4709	FBgn0032169
CG14806	FBgn0029594
CG34112	FBgn0086608
akirin	FBgn0082598
wal	FBgn0010516
CG32533	FBgn0052533
Hmt-1	FBgn0038376
Sry-delta	FBgn0003512
CG3338	
CG10171	FBgn0036353
Meics	FBgn0025874
CG7338	
CG14715	FBgn0037930
CG1882	FBgn0033226
ash2	FBgn0000139
drongo	FBgn0020304
CG12162	
CG18522	FBgn0267408
Fas1	FBgn0262742
CG17323	FBgn0032713
CG4957	FBgn0032205
pgant6	FBgn0035375
CG17721	FBgn0037885
Arf51F	FBgn0013750
nwk	FBgn0263456
CG5613	FBgn0030839
CG9471	FBgn0037749
Mdh1	FBgn0262782
shd	FBgn0003388
CG10778	FBgn0029980
sl	FBgn0003416
CG32250	FBgn0052250
DIP2	FBgn0024806
CG7766	FBgn0030087
CG18292	FBgn0030269
alphaTub84B	FBgn0003884
D19A	FBgn0022935
CG6729	FBgn0032296
Takl1	FBgn0046689
Ack-like	FBgn0263998
Aats-ala	
CG15160	FBgn0032688
CG2202	FBgn0030240
RhoGAP93B	FBgn0038853
sgg	FBgn0003371
CG12253	FBgn0026148
CG8273	FBgn0037716
l(2)k14505	FBgn0021856
CIAPIN1	FBgn0001977
CG12081	FBgn0030053
CG31320	FBgn0051320
CG1529	FBgn0031144
CG1227	FBgn0037491
SP1029	FBgn0263236
spict	FBgn0032451
RIOK1	FBgn0036187
Sry-beta	FBgn0003511
bun	FBgn0259176
Mp20	FBgn0002789
CG15514	FBgn0039712
Tep4	FBgn0041180
CG7837	FBgn0039696
R	FBgn0029248
CG13492	FBgn0034662
CG4300	FBgn0036272
RpS14a	FBgn0004403
jagn	FBgn0037374
RpI12	FBgn0038903
dj-1beta	FBgn0039802
fz	FBgn0001085
Ced-12	FBgn0032409
Prp38	FBgn0050342
CG3829	FBgn0035091
Sirup	FBgn0031971
CG6236	FBgn0038318
gce	FBgn0261703
CG10639	FBgn0032729
fru	FBgn0004652
CG3700	FBgn0034796
fws	FBgn0024689
Liprin-alpha	FBgn0046704
Su(z)12	FBgn0020887
lilli	FBgn0041111
rho-7	FBgn0033672
CG5104	FBgn0037009
Klp31E	FBgn0032243
CG11885	FBgn0031253
CG3711	FBgn0040344
Vps24	FBgn0037231
CG11141	FBgn0033177
CG1698	FBgn0033443
CG3689	FBgn0035987
CG9669	FBgn0036667
Art7	FBgn0034817
CG9062	FBgn0033607
ex	FBgn0004583
CG10055	FBgn0037482
Aats-thr	
Crtc	FBgn0036746
CG2926	FBgn0037344
Lsd-2	FBgn0030608
CG10809	FBgn0036052
CG14526	FBgn0027578
CG17124	FBgn0032297
Drip	FBgn0015872
CG5849	FBgn0038897
CG8005	FBgn0035854
Itgbetanu	
CG4887	FBgn0031318
CG11418	FBgn0024360
c12.2	FBgn0040234
CG31855	FBgn0051855
ens	FBgn0264693
Irbp	FBgn0011774
CG4050	FBgn0020312
CG34325	FBgn0085354
Tango6	FBgn0032728
CG17032	FBgn0036547
CG7519	FBgn0037087
nonC	FBgn0263968
CG2233	FBgn0029990
l(3)psg2	FBgn0035617
CG3587	FBgn0023521
Mal-A5	FBgn0050359
Khc-73	FBgn0019968
CG5621	FBgn0038840
Chrac-14	FBgn0043002
Prp8	FBgn0033688
CG9396	FBgn0037714
sun	FBgn0014391
CG9018	FBgn0035318
sub	FBgn0003545
CG14253	FBgn0039467
CG6985	FBgn0039017
slif	FBgn0037203
TfIIB	FBgn0004915
CG32486	FBgn0266918
CG18812	FBgn0042135
CG32243	FBgn0052243
CG18011	FBgn0033491
CG13766	FBgn0031834
CG42676	FBgn0261562
CG3803	FBgn0034938
MESR4	FBgn0034240
scra	FBgn0261385
jing	FBgn0086655
mud	FBgn0002873
CG10344	FBgn0034729
Trl	FBgn0013263
CG8560	FBgn0035781
Hr78	FBgn0015239
ZnT49B	FBgn0033762
Ent3	FBgn0036319
RpS4	FBgn0011284
CG9253	FBgn0032919
Lac	FBgn0010238
CG4586	FBgn0029924
arm	FBgn0000117
Hml	FBgn0029167
corto	FBgn0010313
CG4658	FBgn0032170
thoc6	FBgn0036263
VhaAC39-1	FBgn0028665
CG13625	FBgn0039210
Vha68-1	FBgn0265262
4E-T	FBgn0052016
wek	FBgn0001990
CG7441	FBgn0036763
CG9265	FBgn0032910
maf-S	FBgn0034534
CG9896	FBgn0034808
Snap25	FBgn0011288
CG42238	FBgn0250867
Phax	FBgn0033380
CG43102	FBgn0262562
Pgam5	FBgn0023517
CG31142	FBgn0047114
CG3961	FBgn0036821
CG42336	FBgn0259238
CG5149	FBgn0031904
CG3812	FBgn0030421
Mocs1	FBgn0263241
CG43693	FBgn0263776
CG9646	FBgn0034184
CG7054	FBgn0038972
CG17571	FBgn0259998
RpS23	FBgn0033912
CG5446	FBgn0032429
CG17646	FBgn0264494
CG11839	FBgn0039271
CG33969	FBgn0053969
Est-6	FBgn0000592
CG11208	FBgn0034488
CG17129	FBgn0035151
qkr58E-1	FBgn0022986
mop	FBgn0036448
CG4820	FBgn0037876
rtp	FBgn0087005
CG31108	FBgn0051108
msk	FBgn0026252
ste14	FBgn0036336
CG12099	FBgn0035232
Cks30A	FBgn0010314
Kal1	FBgn0039155
fh	FBgn0030092
snz	FBgn0029976
CG17556	FBgn0038462
CG8353	FBgn0032002
ihog	FBgn0031872
CG40006	FBgn0058006
caz	FBgn0011571
CG5482	FBgn0034368
Mesh1	FBgn0039650
ced-6	FBgn0029092
pnt	FBgn0003118
Rab35	FBgn0031090
CG6197	
stl	FBgn0086408
rux	FBgn0003302
PGRP-LB	FBgn0037906
Chmp1	FBgn0036805
l(2)06225	FBgn0067959
for	FBgn0000721
Psc	FBgn0005624
Pex5	FBgn0023516
CG1575	FBgn0029999
Idgf3	FBgn0020414
Ilp6	FBgn0044047
Nsf2	FBgn0266464
CG3402	FBgn0035148
HmgZ	FBgn0010228
Nipsnap	FBgn0030724
drpr	FBgn0027594
nonA	FBgn0004227
Stlk	FBgn0046692
CG34176	FBgn0085205
dl	FBgn0260632
neur	FBgn0002932
CG30491	FBgn0050491
CG42678	FBgn0261564
CG9934	FBgn0032467
CG43729	FBgn0263980
cmet	FBgn0040232
CG10361	FBgn0036208
St4	FBgn0033887
CG9740	
CG6048	FBgn0029827
CG34293	FBgn0085322
CG13295	FBgn0035674
CG6282	FBgn0035914
Hip14	FBgn0259824
dlt	FBgn0024510
Orc6	FBgn0023180
CG31633	FBgn0051633
Atxn7	FBgn0031420
CG14968	FBgn0035431
eIF5	FBgn0030719
CG2924	FBgn0023528
NijA	FBgn0036101
LSm3	FBgn0051184
CG14989	FBgn0035495
Syx8	FBgn0036643
RhoGAP19D	FBgn0031118
Taf10	FBgn0028398
Tbce	FBgn0033055
CG31223	FBgn0051223
Fak	FBgn0020440
CG8503	
CG7580	FBgn0036728
CanB2	FBgn0015614
jub	FBgn0030530
CTCF	FBgn0035769
CG31957	FBgn0051957
CG33099	FBgn0053099
Jupiter	FBgn0051363
CG6923	FBgn0037944
CG5916	FBgn0038401
aret	
CG4096	FBgn0029791
Dgkepsilon	FBgn0020930
CG1815	FBgn0039863
RhoGAP54D	FBgn0034249
RpII15	FBgn0004855
ari-2	FBgn0025186
CG14446	FBgn0262730
CG17321	FBgn0032719
CG33346	FBgn0053346
CG4302	FBgn0027073
CG3088	FBgn0036015
CG2129	FBgn0030008
CG6712	FBgn0032408
CG9911	FBgn0030734
GATAe	FBgn0038391
CG7927	FBgn0027549
pgant5	FBgn0031681
p53	FBgn0039044
Cirl	FBgn0033313
dsh	FBgn0000499
CG31140	FBgn0051140
CG5045	FBgn0032229
CG32164	FBgn0042177
CG9915	FBgn0030738
CG7442	
CG10166	FBgn0032799
CG5196	FBgn0038039
cib	FBgn0026084
CG3501	FBgn0034791
Fur2	FBgn0004598
ppl	FBgn0027945
CG11123	FBgn0033169
AnxB9	FBgn0000083
CG15525	FBgn0039732
CG12304	
CG14184	FBgn0036932
CG8312	FBgn0037720
CG3238	FBgn0031540
Prm	FBgn0003149
CG4363	FBgn0034663
msd5	FBgn0035210
CG16952	FBgn0030701
Nap1	FBgn0015268
CG2921	FBgn0034689
Ser8	FBgn0019928
betaTub97EF	FBgn0003890
CG2991	FBgn0031474
CG5844	FBgn0038049
CG12279	FBgn0038080
CG3328	FBgn0034985
Cks85A	FBgn0037613
CG7544	FBgn0033994
l(2)37Cd	FBgn0086445
coro	FBgn0265935
asp	FBgn0000140
sqh	FBgn0003514
CG8249	FBgn0034045
CG15536	FBgn0039766
lama	FBgn0016031
Aven	FBgn0030410
yrt	FBgn0004049
Jheh3	FBgn0034406
MED23	FBgn0034795
CG42672	FBgn0261554
dos	FBgn0016794
RpLP1	FBgn0002593
CG31731	FBgn0028539
RIOK2	FBgn0039306
CG30122	FBgn0050122
hfw	FBgn0001189
Pak3	FBgn0044826
CG6479	FBgn0036710
CG31999	FBgn0051999
stck	FBgn0020249
Atg5	FBgn0029943
TppII	FBgn0020370
CG34133	FBgn0083969
asparagine-synthetase	
NP15.6	FBgn0027785
Rrp42	FBgn0034065
wcd	FBgn0262560
CG6833	FBgn0036405
HBS1	FBgn0042712
Zn72D	FBgn0263603
RhoGDI	FBgn0036921
Atg14	FBgn0039636
AGO3	FBgn0250816
Sirt7	FBgn0039631
Rab18	FBgn0015794
CG12158	FBgn0040775
Dp1	FBgn0027835
CG6293	FBgn0037807
CG10916	FBgn0034312
Dhod	FBgn0000447
CG3407	FBgn0031573
Sep5	FBgn0026361
CG15601	FBgn0030673
CG30007	FBgn0285892
Blimp-1	FBgn0035625
CG3436	FBgn0031229
Caf1-180	FBgn0030054
gammaTub23C	FBgn0260639
CG8478	FBgn0037746
shark	
spin	FBgn0086676
Muc68D	FBgn0036203
Arl2	FBgn0004908
tamo	FBgn0041582
CG9451	FBgn0036876
CG13994	FBgn0031772
par-1	FBgn0260934
CG1265	FBgn0035517
DNApol-alpha73	FBgn0005696
cindr	FBgn0027598
Gcn5	FBgn0020388
O-fut1	FBgn0033901
serp	FBgn0260653
mRpL11	FBgn0038234
Upf1	FBgn0030354
CG12173	FBgn0037305
CG14502	FBgn0034321
l(2)34Fd	FBgn0261535
Got2	FBgn0001125
CG10375	FBgn0039116
CG14931	FBgn0032374
CG10973	FBgn0036306
CG5510	FBgn0039160
mbo	FBgn0026207
Phb2	FBgn0010551
tutl	FBgn0010473
Dek	FBgn0026533
CG6379	FBgn0029693
mtSSB	FBgn0010438
SK	FBgn0029761
CG3605	
BicD	FBgn0000183
CG17494	FBgn0068379
gkt	FBgn0260817
CG8188	FBgn0030863
Miro	FBgn0039140
Ptpa	FBgn0016698
ph-p	FBgn0004861
rost	FBgn0011705
Sox14	FBgn0005612
bam	FBgn0000158
Ocrl	FBgn0023508
CHKov2	FBgn0039328
CG34200	FBgn0085229
oys	FBgn0033476
Rme-8	FBgn0015477
Ciao1	FBgn0033972
CG11980	FBgn0037652
Lint-1	FBgn0030274
CG7728	FBgn0036686
CG8665	FBgn0032945
Mcm3	FBgn0284442
CG18549	FBgn0038053
Chro	FBgn0044324
Ice1	FBgn0034853
Coq2	FBgn0037574
vsg	FBgn0045823
CG7949	
CG5525	
CG8042	FBgn0027554
l(1)G0320	FBgn0028327
CG1678	FBgn0031176
phl	FBgn0063982
Nhe1	FBgn0026787
Rpb8	FBgn0037121
CBP	FBgn0026144
CG8888	FBgn0033679
CG8116	
GstE12	FBgn0027590
Droj2	FBgn0038145
brat	FBgn0010300
Arfrp1	FBgn0030088
l(2)37Ce	
dco	FBgn0002413
CG11970	FBgn0027503
CG5706	
ry	FBgn0003308
CG32165	FBgn0042178
su(r)	FBgn0086450
CG8207	FBgn0034035
Ilp8	FBgn0036690
bab2	FBgn0025525
l(3)73Ah	FBgn0002283
CG10265	FBgn0033990
CycB3	FBgn0015625
CG6852	FBgn0036820
Jheh2	FBgn0034405
mus101	FBgn0002878
CG32068	FBgn0052068
dmpd	FBgn0033486
CG7261	
CG12272	
Unr	FBgn0263352
CG10479	FBgn0035656
Gasp	FBgn0026077
Rpt1	FBgn0028687
PPP4R2r	FBgn0030208
Camta	FBgn0259234
CG31674	FBgn0051674
pav	FBgn0011692
Oscp	
CG9701	FBgn0036659
Prosbeta4	FBgn0032596
CngB	FBgn0266346
CG4377	FBgn0034664
Nufip	FBgn0036812
CG7280	FBgn0030966
CG42335	FBgn0259237
fat-spondin	FBgn0026721
CG6094	FBgn0032261
Paip2	FBgn0038100
Sgf11	FBgn0036804
Lig4	FBgn0030506
CG9727	FBgn0037445
CG8297	
RtGEF	FBgn0015803
Atg18a	FBgn0035850
CG13044	FBgn0036599
Wnk	FBgn0037098
CG5886	FBgn0039379
roq	FBgn0036621
CG15743	FBgn0030465
CG32772	FBgn0052772
Ravus	FBgn0038128
l(3)01239	
RpS3A	FBgn0017545
Su(P)	FBgn0004465
CG8134	FBgn0030671
CG6426	FBgn0034162
Ykt6	FBgn0260858
Taf4	FBgn0010280
CG11368	FBgn0040923
CG8950	FBgn0034186
CG4065	FBgn0034982
CG42540	FBgn0260657
CG12065	FBgn0030052
Rbcn-3B	FBgn0023510
wun	FBgn0016078
Mlc-c	FBgn0004687
CG14642	FBgn0037222
Nop56	FBgn0038964
CG12400	FBgn0031505
bol	FBgn0011206
Mtl	FBgn0039532
l(3)L1231	FBgn0086686
CdGAPr	FBgn0032821
ZnT41F	FBgn0025693
CG31550	FBgn0051550
CG30339	FBgn0050339
CG4542	
mtRNApol	FBgn0261938
Patj	FBgn0067864
CG7744	FBgn0034447
Atf6	FBgn0033010
CG10880	FBgn0031398
sinu	FBgn0010894
CG2915	FBgn0033241
CG11155	FBgn0039927
Taf2	FBgn0011836
Mcm7	FBgn0020633
Cyt-b5	FBgn0264294
CG9305	FBgn0032512
CycK	FBgn0025674
RpS7	FBgn0039757
mRpL3	FBgn0030686
bl	
Cyp9f2	FBgn0038037
CG13375	FBgn0040370
fs(1)h	FBgn0004656
Qtzl	FBgn0051864
Mes2	FBgn0037207
pod1	FBgn0029903
Hsf	FBgn0001222
Tes	FBgn0034223
Ptp99A	FBgn0004369
CG13313	FBgn0035941
CG3894	FBgn0035059
Nbr	FBgn0032924
inaC	FBgn0004784
CG31126	FBgn0051126
vret	FBgn0263143
cnc	FBgn0262975
CG3760	FBgn0022343
Trs31	FBgn0266723
CG15863	FBgn0033467
IntS9	FBgn0036570
RhoBTB	FBgn0036980
Tom40	FBgn0016041
Zwilch	FBgn0061476
CG13912	FBgn0035186
CG13907	FBgn0035173
CG1674	FBgn0039897
DNA-ligI	FBgn0262619
Abp1	FBgn0036372
CG40485	FBgn0069973
Tsp86D	FBgn0037848
CG13339	FBgn0033871
eIF5B	FBgn0026259
C1GalTA	FBgn0032078
14-3-3zeta	FBgn0004907
Vang	FBgn0015838
CG6543	FBgn0033879
CG7206	FBgn0030892
Hr39	FBgn0261239
wfs1	FBgn0039003
CG18480	FBgn0028518
Stim	FBgn0045073
Nmd3	FBgn0023542
CG7988	FBgn0038582
Pdk1	FBgn0020386
CG17230	FBgn0046225
Axn	FBgn0026597
CG8323	FBgn0033903
Hop	FBgn0024352
awd	FBgn0000150
l(1)1Bi	FBgn0001341
CG11892	FBgn0039313
mRpL38	FBgn0030552
Srp54	FBgn0024285
dnt	FBgn0024245
MTA1-like	FBgn0027951
CG9922	FBgn0038196
CG5337	
CG4928	FBgn0027556
Wwox	FBgn0031972
SF1	FBgn0025571
BRWD3	FBgn0011785
CG8319	FBgn0037722
CG8494	
tn	FBgn0265356
CG3386	FBgn0035152
CG14438	FBgn0029899
CG9004	FBgn0035336
Fs	FBgn0259878
CG34291	FBgn0085320
mRpS2	FBgn0031639
Stat92E	FBgn0016917
Galt	FBgn0263200
CG14231	FBgn0031060
Rala	FBgn0015286
LpR1	FBgn0066101
kel	FBgn0001301
Rpn7	FBgn0028688
CG5807	FBgn0027539
CG5608	FBgn0038058
Ire1	FBgn0261984
Act87E	FBgn0000046
pll	FBgn0010441
Oatp58Db	FBgn0034715
BHD	FBgn0261111
Hsc70-3	FBgn0001218
CG5068	FBgn0035951
Cg25C	
CG18094	FBgn0032791
SpdS	FBgn0037723
CG42674	FBgn0261556
GstE14	FBgn0033817
CG9801	FBgn0037623
CG7720	FBgn0038652
Pdi	FBgn0014002
Sgt	FBgn0032640
ida	FBgn0041147
CG8520	FBgn0033734
CG5726	FBgn0034313
Nup358	FBgn0039302
l(1)G0004	FBgn0027334
Acox57D-d	FBgn0034629
Cas	
CG9065	FBgn0030610
l(3)mbt	FBgn0002441
CG15443	FBgn0031609
defl	FBgn0036038
mth	FBgn0023000
Tif-IA	FBgn0032988
CG14210	FBgn0031040
Ufd1-like	FBgn0036136
msn	FBgn0010909
rno	FBgn0035106
CG4848	FBgn0037998
Mtor	FBgn0013756
bonsai	FBgn0026261
adp	FBgn0000057
CG17266	FBgn0033089
Chrac-16	FBgn0043001
CkIIalpha-i3	FBgn0025676
Pi3K68D	FBgn0015278
18w	FBgn0004364
Best2	FBgn0035696
PGRP-SC2	FBgn0043575
CG9413	FBgn0030574
CG7646	FBgn0036926
ix	FBgn0001276
CG10514	FBgn0039312
MED24	FBgn0035851
cdc14	FBgn0031952
ago	FBgn0041171
Mal-A6	FBgn0050360
Rrp47	FBgn0030711
CG7028	FBgn0027587
Phk-3	FBgn0035089
Prosbeta7	FBgn0250746
Set	FBgn0014879
Rrp6	FBgn0038269
baf	FBgn0031977
enc	FBgn0004875
Fancl	FBgn0037781
Adgf-A	FBgn0036752
ana2	FBgn0027513
CG42368	FBgn0259714
tef	FBgn0086350
CG8320	FBgn0034059
mTerf5	FBgn0038584
Exo70	FBgn0266667
CG2147	FBgn0030025
CG3223	FBgn0037538
CG32409	FBgn0052409
CG6583	FBgn0032420
Lsm10	FBgn0033554
Akt1	FBgn0010379
Nca	FBgn0013303
l(2)37Cb	FBgn0086444
mirr	FBgn0014343
CG7203	FBgn0031942
sw	FBgn0003654
CG9568	FBgn0032087
His3.3B	FBgn0004828
CG30197	FBgn0050197
CG13624	FBgn0039209
Adgf-D	FBgn0038172
Pect	FBgn0032482
CG6051	FBgn0039492
CstF-50	FBgn0039867
PIP4K	FBgn0039924
SF2	FBgn0283477
Sh3beta	FBgn0035772
Rpb7	FBgn0051155
CG30371	FBgn0050371
Tap42	FBgn0051852
CG6175	FBgn0036152
mRpL52	FBgn0033208
Bzd	
svr	FBgn0004648
CG9399	FBgn0037715
Idgf1	FBgn0020416
CG32138	FBgn0267795
CG13124	FBgn0032156
CG12054	FBgn0039831
RNaseX25	FBgn0010406
PI31	FBgn0033669
CLIP-190	FBgn0020503
CG31109	FBgn0051109
CG5746	FBgn0039186
Cpr67B	FBgn0035985
wol	FBgn0261020
pes	FBgn0031969
Tango4	FBgn0030365
CG7800	FBgn0037552
Nedd4	FBgn0259174
CG5757	FBgn0034299
CG15210	FBgn0040850
CG11791	FBgn0039266
CG14657	FBgn0037282
CG42492	FBgn0259994
Mef2	FBgn0011656
Gdh	FBgn0001098
cad	FBgn0000251
jdp	FBgn0027654
CG5986	FBgn0043455
CG17186	FBgn0038741
Dip-C	FBgn0000455
KCNQ	FBgn0033494
rasp	FBgn0024194
CG12301	FBgn0036514
CG7889	FBgn0031003
CG3448	FBgn0035996
tkv	FBgn0003716
kuz	FBgn0259984
CG14073	FBgn0036814
CG5188	FBgn0032247
CG14270	FBgn0029665
fa2h	FBgn0050502
zetaTry	FBgn0011556
Rpn13	FBgn0033886
GC1	FBgn0260743
CG10628	FBgn0032818
CG6984	FBgn0034191
CG13690	FBgn0031252
Crg-1	FBgn0021738
CG42360	FBgn0259742
CG42329	FBgn0259229
gro	FBgn0001139
N	FBgn0004647
l(1)G0222	
